Name:,123
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_130614
2019/10/27 13:06:24:964,10260,9.45
2019/10/27 13:06:24:984,10280,9.43
2019/10/27 13:06:25:004,10300,9.42
2019/10/27 13:06:25:024,10320,9.42
2019/10/27 13:06:25:044,10340,9.39
2019/10/27 13:06:25:064,10360,9.36
2019/10/27 13:06:25:084,10380,9.3
2019/10/27 13:06:25:104,10400,9.25
2019/10/27 13:06:25:124,10420,9.18
2019/10/27 13:06:25:144,10440,9.14
2019/10/27 13:06:25:164,10460,9.07
2019/10/27 13:06:25:184,10480,9.02
2019/10/27 13:06:25:204,10500,8.98
2019/10/27 13:06:25:224,10520,8.92
2019/10/27 13:06:25:244,10540,8.85
2019/10/27 13:06:25:264,10560,8.81
2019/10/27 13:06:25:284,10580,8.79
2019/10/27 13:06:25:304,10600,8.8
2019/10/27 13:06:25:324,10620,8.84
2019/10/27 13:06:25:344,10640,8.93
2019/10/27 13:06:25:364,10660,9.02
2019/10/27 13:06:25:384,10680,9.15
2019/10/27 13:06:25:404,10700,9.29
2019/10/27 13:06:25:424,10720,9.44
2019/10/27 13:06:25:444,10740,9.59
2019/10/27 13:06:25:464,10760,9.71
2019/10/27 13:06:25:484,10780,9.81
2019/10/27 13:06:25:504,10800,9.88
2019/10/27 13:06:25:524,10820,9.92
2019/10/27 13:06:25:544,10840,9.94
2019/10/27 13:06:25:564,10860,9.93
2019/10/27 13:06:25:584,10880,9.9
2019/10/27 13:06:25:604,10900,9.87
2019/10/27 13:06:25:624,10920,9.85
2019/10/27 13:06:25:644,10940,9.81
2019/10/27 13:06:25:664,10960,9.78
2019/10/27 13:06:25:684,10980,9.72
2019/10/27 13:06:25:704,11000,9.68
2019/10/27 13:06:25:724,11020,9.66
2019/10/27 13:06:25:744,11040,9.64
2019/10/27 13:06:25:764,11060,9.62
2019/10/27 13:06:25:784,11080,9.61
2019/10/27 13:06:25:804,11100,9.59
2019/10/27 13:06:25:824,11120,9.54
2019/10/27 13:06:25:844,11140,9.47
2019/10/27 13:06:25:864,11160,9.41
2019/10/27 13:06:25:884,11180,9.34
2019/10/27 13:06:25:904,11200,9.26
2019/10/27 13:06:25:924,11220,9.2
2019/10/27 13:06:25:944,11240,9.12
2019/10/27 13:06:25:964,11260,9.06
2019/10/27 13:06:25:984,11280,8.99
2019/10/27 13:06:26:004,11300,8.93
2019/10/27 13:06:26:024,11320,8.88
2019/10/27 13:06:26:044,11340,8.82
2019/10/27 13:06:26:064,11360,8.79
2019/10/27 13:06:26:084,11380,8.76
2019/10/27 13:06:26:104,11400,8.74
2019/10/27 13:06:26:124,11420,8.74
2019/10/27 13:06:26:144,11440,8.75
2019/10/27 13:06:26:164,11460,8.79
2019/10/27 13:06:26:184,11480,8.87
2019/10/27 13:06:26:204,11500,8.95
2019/10/27 13:06:26:224,11520,9.04
2019/10/27 13:06:26:244,11540,9.17
2019/10/27 13:06:26:264,11560,9.28
2019/10/27 13:06:26:284,11580,9.39
2019/10/27 13:06:26:304,11600,9.49
2019/10/27 13:06:26:324,11620,9.58
2019/10/27 13:06:26:344,11640,9.65
2019/10/27 13:06:26:364,11660,9.7
2019/10/27 13:06:26:384,11680,9.71
2019/10/27 13:06:26:404,11700,9.71
2019/10/27 13:06:26:424,11720,9.66
2019/10/27 13:06:26:444,11740,9.63
2019/10/27 13:06:26:464,11760,9.58
2019/10/27 13:06:26:484,11780,9.53
2019/10/27 13:06:26:504,11800,9.48
2019/10/27 13:06:26:524,11820,9.42
2019/10/27 13:06:26:544,11840,9.38
2019/10/27 13:06:26:564,11860,9.33
2019/10/27 13:06:26:584,11880,9.29
2019/10/27 13:06:26:604,11900,9.22
2019/10/27 13:06:26:624,11920,9.17
2019/10/27 13:06:26:644,11940,9.11
2019/10/27 13:06:26:664,11960,9.03
2019/10/27 13:06:26:684,11980,8.94
2019/10/27 13:06:26:704,12000,8.88
2019/10/27 13:06:26:724,12020,8.85
2019/10/27 13:06:26:744,12040,8.84
2019/10/27 13:06:26:764,12060,8.85
2019/10/27 13:06:26:784,12080,8.86
2019/10/27 13:06:26:804,12100,8.89
2019/10/27 13:06:26:824,12120,8.93
2019/10/27 13:06:26:844,12140,8.99
2019/10/27 13:06:26:864,12160,9.06
2019/10/27 13:06:26:884,12180,9.17
2019/10/27 13:06:26:904,12200,9.26
2019/10/27 13:06:26:924,12220,9.4
2019/10/27 13:06:26:944,12240,9.54
2019/10/27 13:06:26:964,12260,9.67
2019/10/27 13:06:26:984,12280,9.81
2019/10/27 13:06:27:004,12300,9.94
2019/10/27 13:06:27:024,12320,10.08
2019/10/27 13:06:27:044,12340,10.17
2019/10/27 13:06:27:064,12360,10.22
2019/10/27 13:06:27:084,12380,10.27
2019/10/27 13:06:27:104,12400,10.29
2019/10/27 13:06:27:124,12420,10.28
2019/10/27 13:06:27:144,12440,10.22
2019/10/27 13:06:27:164,12460,10.14
2019/10/27 13:06:27:184,12480,10.06
2019/10/27 13:06:27:204,12500,9.94
2019/10/27 13:06:27:224,12520,9.81
2019/10/27 13:06:27:244,12540,9.65
2019/10/27 13:06:27:264,12560,9.47
2019/10/27 13:06:27:284,12580,9.32
